ID,RA,DEC,X,Y,Z,MASS,SFR
12897,53.1935692,-27.7942066,5441.52,11652.4,0.555,7.18,0.0224
31404,53.1934128,-27.7803383,5449.5,12484.5,1.044,7.93,0.1096
31278,53.1933327,-27.7828712,5453.78,12332.5,0.873,7.44,0.0269
31286,53.1933327,-27.7826729,5453.85,12344.5,0.391,6.65,0.0027
14391,53.1930809,-27.7843876,5467.25,12241.5,2.881,8.75,1.071
13318,53.192997,-27.7911663,5471.9,11834.7,0.537,7.24,0.0132
15224,53.192955,-27.7792549,5473.79,12549.5,1.406,8.42,0.0589
31300,53.1928787,-27.7824783,5477.86,12356,0.649,6.97,0.0229
14917,53.1928787,-27.7812023,5477.95,12432.6,1.816,8.54,0.3981
31120,53.1928787,-27.7869053,5478.13,12090.5,4.343,8.07,1.259
13695,53.1928635,-27.7886772,5479,11984.2,3.727,8.78,1.549
13807,53.1928444,-27.7878609,5479.95,12033.2,1.855,8.21,0.4677
12563,53.1927795,-27.7965012,5483.64,11514.6,0.925,7.99,0.0741
14556,53.1927643,-27.7835274,5483.99,12293.2,0.479,7.78,0.0363
31311,53.1927338,-27.7821445,5485.57,12376.1,1.109,8.04,0.0032
14441,53.1926651,-27.7841454,5489.33,12256,4.881,9.71,18.62
14548,53.1925697,-27.7837963,5494.33,12277,0.865,8.53,0.257
13062,53.1925545,-27.7930145,5495.42,11724,1.68,8.26,0.309
12217,53.1923904,-27.799078,5504.39,11360.1,0.933,8.09,0.0933
12483,53.1923485,-27.7978725,5506.61,11432.5,1.156,9.08,1.445
14196,53.1922302,-27.7860126,5512.35,12144.1,2.564,9.84,14.45
14424,53.1921768,-27.7845459,5515.3,12232.1,1.558,9.38,5.37
14221,53.1921043,-27.7855549,5519.01,12171.5,1.375,8.55,0.2692
14099,53.1920662,-27.7871704,5521.09,12074.5,1.072,9.79,11.22
14713,53.1919479,-27.7829571,5527.23,12327.4,1.03,8.6,0.4786
14309,53.1917152,-27.7851028,5539.66,12198.6,2.943,9.49,11.22
31175,53.1916351,-27.7853909,5544.05,12181.4,3.138,8.48,1.202
13448,53.1916122,-27.7902584,5545.4,11889.3,1.862,8.41,0.2291
30722,53.1916046,-27.7981224,5546.12,11417.5,2.74,8.22,1.071
14871,53.1915512,-27.7826767,5548.31,12344.3,1.226,9.9,14.45
13749,53.1915359,-27.7886658,5549.3,11984.9,1.322,8.75,1
13721,53.1915359,-27.789175,5549.44,11954.3,2.582,9.4,10
14501,53.1915245,-27.7838402,5549.83,12274.3,2.606,9.34,2.63
11873,53.1914978,-27.8018131,5551.85,11196,3.088,9.14,1.097
15173,53.1914253,-27.7795811,5554.96,12530,2.852,9.11,2.344
13298,53.1913185,-27.7917309,5560.92,11801,2.128,9.17,0.8913
31484,53.1912346,-27.7788868,5564.94,12571.7,4.367,8.25,2.512
30957,53.1912193,-27.7913837,5566.31,11821.8,1.791,8.37,0.2138
31135,53.1911201,-27.7865524,5571.37,12111.6,1.263,7.81,0.0708
30876,53.1909828,-27.7939644,5578.84,11667,3.421,9.13,1.097
13435,53.190834,-27.7903481,5586.63,11883.9,4.983,9.7,14.45
31501,53.1907883,-27.7785416,5588.75,12592.3,2.431,8.06,0.2951
15428,53.1907578,-27.7780418,5590.34,12622.3,3.013,9.29,4.074
30909,53.1907387,-27.7926674,5591.85,11744.8,0.653,7.18,0.0065
14310,53.1907005,-27.7849274,5593.67,12209.2,2.158,8.45,1.38
31458,53.1905136,-27.7792778,5603.23,12548.2,2.073,8.43,0.1175
31088,53.1904182,-27.7876682,5608.67,12044.8,1.54,8.05,0.1349
